pixel,latitude,longitude,velocity_detrended,cluster,hdbscan_cluster
189784,43.67111433567297,3.4120314139283368,-2.032858596134283,-1,-1
189785,43.672012664526356,3.4119291267934235,-1.4328585961342828,-1,-1
189786,43.672910992585905,3.4118268354496344,-1.8328585961342827,-1,-1
189788,43.676504296886925,3.411417627980903,-0.23285859613428284,-1,-1
189791,43.679199266779925,3.4111106781743827,-0.23285859613428284,-1,-1
189796,43.684589185144404,3.4104966648632993,-0.5328585961342829,-1,-1
190297,43.671193483407244,3.4132647256539617,-0.3328585961342827,-1,-1
190299,43.67838010337984,3.4124464618645547,-1.9328585961342828,-1,-1
190797,43.67127261636217,3.4144980403907756,-2.2328585961342826,-1,-1
191286,43.67494506223858,3.4153224110561324,-0.9328585961342828,-1,-1
191287,43.675843392179964,3.415220163767949,-0.4328585961342828,-1,-1
191290,43.678538377243626,3.4149133966571896,-0.23285859613428284,-1,-1
191291,43.680335029986146,3.4147088642091017,-1.4328585961342828,-1,-1
191292,43.68123335516755,3.414606591672063,-0.4328585961342828,-1,-1
191758,43.680414147587214,3.4159423739198878,-0.03285859613428288,-1,-1
191761,43.69748221745565,3.4139988349691697,-0.23285859613428284,-1,-1
192237,43.67600159839472,3.4176869972276713,-2.3328585961342827,-1,-1
192238,43.67689993038346,3.4175847835235467,-0.5328585961342829,-1,-1
192241,43.68318823209559,3.4168691698061693,-0.4328585961342828,-1,-1
192246,43.69666303352056,3.4153350174256936,-0.5328585961342829,-1,-1
192746,43.67428401013342,3.4191247954733184,-0.7328585961342826,-1,-1
192747,43.67518234512876,3.4190226090755353,-0.23285859613428284,-1,-1
192748,43.676979012739544,3.418818223664706,-1.132858596134283,-1,-1
192749,43.67787734535509,3.4187160246511805,-3.5328585961342824,-1,-1
192753,43.68865727488794,3.417489308373477,-0.8328585961342827,-1,-1
193274,43.67166805944429,3.4206646592236005,-0.13285859613428275,-1,-1
193276,43.67436307344921,3.4203581819375466,-0.4328585961342828,-1,-1
193277,43.67975308004122,3.4197451138508828,-1.5328585961342829,-1,-1
193279,43.683346401908295,3.4193363176874616,-0.3328585961342827,-1,-1
193280,43.68514305808469,3.419131894368296,-0.13285859613428275,-1,-1
193281,43.68604138498378,3.41902967639851,-0.8328585961342827,-1,-1
193289,43.69951619337452,3.417495901862494,-2.632858596134283,-1,-1
193821,43.6744421219845,3.4215915714102625,-1.132858596134283,-1,-1
193823,43.676238796860005,3.4213872699905803,-1.632858596134283,-1,-1
193824,43.67713713310801,3.4212851129752835,-0.8328585961342827,-1,-1
193825,43.67803546856293,3.42118295175603,-0.4328585961342828,-1,-1
193826,43.67893380322479,3.421080786332578,-0.7328585961342826,-1,-1
194355,43.67631783345303,3.4226207002622533,-0.632858596134283,-1,-1
194358,43.67901284407571,3.422314273296513,-0.03285859613428288,-1,-1
