pixel,latitude,longitude,velocity_detrended,cluster,distance,dist_m
207988,43.69633493572106,3.4526572115805276,-0.13285859613428275,1,True,459.41044209908745
208479,43.69551524059947,3.4539928083976785,-0.03285859613428288,1,True,543.240806439149
208979,43.69559389013632,3.455226681949019,-0.23285859613428284,1,True,547.9876820534115
207987,43.69543657627497,3.4527589378429755,-0.23285859613428284,1,True,556.6611999105955
207986,43.694538216038275,3.4528606599178278,-0.23285859613428284,1,True,654.7865700008452
211388,43.69688528533812,3.4612945007919005,-0.632858596134283,3,True,726.1442350449773
211387,43.69598691600408,3.461396094636096,-0.632858596134283,3,True,790.7623528967033
210891,43.69500997169377,3.460263814688445,-0.632858596134283,3,True,799.1328358437875
211880,43.696963847559466,3.462528411229216,-0.5328585961342829,3,True,807.6042502218733
212347,43.69614402283574,3.4638638806682347,-0.7328585961342826,3,True,945.9902532840628
211877,43.6942687329524,3.4628331234646983,-0.13285859613428275,4,True,1003.0569878022202
208475,43.69102342444301,3.4545012823306442,-0.3328585961342827,2,True,1043.7972971802897
211383,43.6923934307656,3.4618024281929602,-0.4328585961342828,4,True,1103.623028858418
212344,43.69344890162471,3.464168523611122,-0.23285859613428284,4,True,1143.956320261957
208974,43.69020369989917,3.4558367246277233,-0.3328585961342827,2,True,1145.8938262560682
209448,43.690282326172664,3.4570704876910163,-0.5328585961342829,2,True,1156.5088668859455
211875,43.69247198592996,3.4630362440496887,-0.3328585961342827,4,True,1158.6008407968177
212343,43.69255052630733,3.464270062898468,-0.23285859613428284,4,True,1219.2903578599492
208973,43.689305332092175,3.4559383837599116,-0.23285859613428284,2,True,1245.825115532216
209927,43.689462567028436,3.4584058750580335,-0.3328585961342827,2,True,1273.0571463024746
212342,43.69165215019968,3.464371598006071,-0.4328585961342828,4,True,1297.9838154015586
213259,43.69270756270085,3.4667377095699963,-0.23285859613428284,4,True,1354.6652300912833
