,cluster,num_pixels,mean_velocity,std_velocity
0,1,5,-0.17285859613428284,0.08944271909999157
1,2,5,-0.3528585961342828,0.10954451150103325
2,3,5,-0.6328585961342829,0.07071067811865465
3,4,7,-0.29000145327713994,0.11338934190276817
