,hdbscan_cluster,num_pixels,mean_velocity,std_velocity
0,89,2,-2.1338441604861047,0.0707106781186545
1,96,5,-1.6238441604861045,0.13416407864998725
2,101,3,-1.5505108271527714,0.057735026918962595
3,103,1,-0.3838441604861047,
4,105,14,-0.9338441604861047,0.12247448713915898
5,108,3,-0.28384416048610467,0.09999999999999998
6,116,2,-0.6338441604861047,0.07071067811865482
