pixel,latitude,longitude,velocity_detrended,cluster,hdbscan_cluster,distance,dist_m
208485,43.70090539389936,3.4533825015101387,-2.1838441604861045,-1,89,True,61.70985324256871
208486,43.70180375001645,3.453280769038023,-0.9838441604861048,-1,105,True,159.58464772945152
208986,43.701882409446156,3.4545147750210567,-1.0838441604861049,-1,105,True,177.31690766812176
209456,43.70106269514262,3.455850478631208,-1.6838441604861045,-1,96,True,188.33552857977637
209454,43.699265974884696,3.456053855330658,-1.4838441604861048,-1,96,True,227.76687799271738
209457,43.701961054086325,3.4557487840015058,-1.4838441604861048,-1,96,True,239.49167029858302
208487,43.70270210534331,3.453179032377403,-1.0838441604861049,-1,105,True,259.2030140409774
208987,43.702780766186514,3.454413057282317,-0.9838441604861048,-1,105,True,270.69105026244983
207493,43.701646386788724,3.45081276606638,-0.9838441604861048,-1,105,True,270.8175243075052
209939,43.7011413235803,3.45708447168703,-1.6838441604861045,-1,96,True,284.97854883347225
209458,43.70285941223994,3.455647085184836,-1.0838441604861049,-1,105,True,315.1222374696481
209940,43.702039683936945,3.45698279597882,-0.9838441604861048,-1,105,True,321.2664990729012
206975,43.69977097844998,3.4497823433569406,-0.9838441604861048,-1,105,True,323.43974559692356
207489,43.69805296888851,3.4512198221836576,-1.5838441604861049,-1,101,True,328.5911866036297
207494,43.7025447392878,3.450710991562572,-0.3838441604861047,-1,103,True,338.8719659213502
208488,43.70360045987999,3.4530772915280408,-0.7838441604861046,-1,105,True,359.1168354736597
209936,43.69844623776965,3.457389473696832,-0.6838441604861047,-1,116,True,368.20312624987906
207996,43.70352178283325,3.4518432506988206,-0.7838441604861046,-1,105,True,377.7631482042667
210407,43.7003215746693,3.458420120340315,-1.7838441604861046,-1,96,True,380.58272372080523
209459,43.7037577696035,3.455545382180959,-0.8838441604861047,-1,105,True,401.63108941593924
206973,43.697974270747146,3.449985900873723,-1.5838441604861049,-1,101,True,402.83367013585
208480,43.69641360145891,3.453891101051555,-0.3838441604861047,-1,108,True,443.1820283291546
206481,43.698793910649925,3.448650186981226,-1.4838441604861048,-1,101,True,444.4598360519547
208980,43.696492252408845,3.455124993519411,-0.18384416048610475,-1,108,True,449.11434953821987
208489,43.70449881362654,3.4529755464896996,-0.8838441604861047,-1,105,True,459.1332315745824
207988,43.69633493572106,3.4526572115805276,-0.5838441604861047,-1,116,True,459.41044209908745
210410,43.70301665997722,3.4581151499804927,-2.083844160486105,-1,89,True,459.54490421161205
208989,43.704577477296944,3.454209609240675,-0.6838441604861047,-1,105,True,465.95877401822065
206972,43.69707591570986,3.450087673347226,-0.2838441604861046,-1,108,True,470.31447628674124
207997,43.70442013516591,3.4517414867372556,-0.8838441604861047,-1,105,True,473.74044077099853
