pixel,latitude,longitude,velocity_detrended,cluster,distance,dist_m
208486,43.70180375001645,3.453280769038023,-0.9838441604861048,6,True,159.58464772945152
208983,43.69918733448388,3.4548199031118174,-1.0838441604861049,6,True,162.18209702681654
208986,43.701882409446156,3.4545147750210567,-1.0838441604861049,6,True,177.31690766812176
208487,43.70270210534331,3.453179032377403,-1.0838441604861049,6,True,259.2030140409774
208987,43.702780766186514,3.454413057282317,-0.9838441604861048,6,True,270.69105026244983
207493,43.701646386788724,3.45081276606638,-0.9838441604861048,6,True,270.8175243075052
209458,43.70285941223994,3.455647085184836,-1.0838441604861049,6,True,315.1222374696481
209940,43.702039683936945,3.45698279597882,-0.9838441604861048,6,True,321.2664990729012
206975,43.69977097844998,3.4497823433569406,-0.9838441604861048,6,True,323.43974559692356
208481,43.69731196152782,3.453789389518365,-0.18384416048610475,5,True,343.17638472482537
207989,43.69723329437659,3.452555481130244,-0.9838441604861048,6,True,363.73645422583326
207996,43.70352178283325,3.4518432506988206,-0.7838441604861046,6,True,377.7631482042667
209459,43.7037577696035,3.455545382180959,-0.8838441604861047,6,True,401.63108941593924
208480,43.69641360145891,3.453891101051555,-0.3838441604861047,5,True,443.1820283291546
206484,43.70148896440363,3.4483447750909524,-0.7838441604861046,6,True,448.3090805987342
208980,43.696492252408845,3.455124993519411,-0.18384416048610475,5,True,449.11434953821987
208489,43.70449881362654,3.4529755464896996,-0.8838441604861047,6,True,459.1332315745824
206972,43.69707591570986,3.450087673347226,-0.2838441604861046,5,True,470.31447628674124
207997,43.70442013516591,3.4517414867372556,-0.8838441604861047,6,True,473.74044077099853
206479,43.696997204194496,3.4488537739534237,-0.18384416048610475,5,True,543.6479257074174
208979,43.69559389013632,3.455226681949019,-0.6838441604861047,7,True,547.9876820534115
207987,43.69543657627497,3.4527589378429755,-0.6838441604861047,7,True,556.6611999105955
205974,43.69781683009973,3.447518067250929,-0.18384416048610475,5,True,575.0685097343005
210404,43.696728116530736,3.458826688898446,-0.4838441604861048,7,True,580.7149613581149
207486,43.69535789716291,3.4515250702854523,-0.18384416048610475,5,True,587.0041502114742
206478,43.696098849780746,3.448955561153844,-0.08384416048610466,5,True,612.0843724913841
205980,43.70320692674758,3.4469071173762598,-0.9838441604861048,6,True,630.1390562906466
207986,43.694538216038275,3.4528606599178278,-0.6838441604861047,7,True,654.7865700008452
211389,43.69778365388198,3.461192902765234,-0.4838441604861048,7,True,670.317645499777
205506,43.70222982970198,3.4457749459281954,-0.8838441604861047,6,True,670.3896894965493
