pixel,latitude,longitude,velocity_detrended,cluster,hdbscan_cluster,distance,dist_m
208484,43.700007036992005,3.4534842297939927,-2.6838441604861045,-1,1,True,46.99759184890288
208485,43.70090539389936,3.4533825015101387,-2.1838441604861045,-1,1,True,61.70985324256871
208985,43.70098405191562,3.4546164885720625,-0.2838441604861046,-1,1,True,98.32959389994477
207992,43.6999283656002,3.452250264649999,-1.9838441604861048,-1,1,True,128.07259561068406
207993,43.700826721093904,3.452148517445988,-0.08384416048610466,-1,1,True,133.74782891622056
208486,43.70180375001645,3.453280769038023,-0.9838441604861048,-1,1,True,159.58464772945152
208983,43.69918733448388,3.4548199031118174,-1.0838441604861049,-1,1,True,162.18209702681654
208986,43.701882409446156,3.4545147750210567,-1.0838441604861049,-1,1,True,177.31690766812176
209456,43.70106269514262,3.455850478631208,-1.6838441604861045,-1,1,True,188.33552857977637
207994,43.70172507579729,3.452046766052949,-1.3838441604861047,-1,1,True,198.58046692562445
207491,43.699849679419486,3.451016302504132,-2.483844160486105,-1,1,True,224.80528245576443
209454,43.699265974884696,3.456053855330658,-1.4838441604861048,-1,1,True,227.76687799271738
207492,43.70074803349931,3.450914536380156,-2.083844160486105,-1,1,True,227.83734518812457
209457,43.701961054086325,3.4557487840015058,-1.4838441604861048,-1,1,True,239.49167029858302
208482,43.69821032080627,3.453687673797865,-1.3838441604861047,-1,1,True,243.2893412948471
208982,43.698288974582574,3.4549216041010475,-0.3838441604861047,-1,1,True,254.38159918356433
208487,43.70270210534331,3.453179032377403,-1.0838441604861049,-1,1,True,259.2030140409774
207490,43.69895132454925,3.451118064438555,-2.2838441604861046,-1,1,True,263.1061411537639
208987,43.702780766186514,3.454413057282317,-0.9838441604861048,-1,1,True,270.69105026244983
207493,43.701646386788724,3.45081276606638,-0.9838441604861048,-1,1,True,270.8175243075052
207990,43.69813165224158,3.452453746491887,-1.9838441604861048,-1,1,True,271.31240363897774
209938,43.70024296243359,3.4571861432092756,-2.483844160486105,-1,1,True,281.5549407559028
209939,43.7011413235803,3.45708447168703,-1.6838441604861045,-1,1,True,284.97854883347225
209453,43.69836761357038,3.456155537400886,-0.6838441604861047,-1,1,True,300.28533772583796
209937,43.699344600496715,3.4572878105457967,-0.6838441604861047,-1,1,True,312.0792048520313
209458,43.70285941223994,3.455647085184836,-1.0838441604861049,-1,1,True,315.1222374696481
209940,43.702039683936945,3.45698279597882,-0.9838441604861048,-1,1,True,321.2664990729012
206975,43.69977097844998,3.4497823433569406,-0.9838441604861048,-1,1,True,323.43974559692356
207489,43.69805296888851,3.4512198221836576,-1.5838441604861049,-1,1,True,328.5911866036297
207494,43.7025447392878,3.450710991562572,-0.3838441604861047,-1,1,True,338.8719659213502
